produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café Caboclo Tradicional A Vácuo 250g,27.99,https://americanas.vtexassets.com/arquivos/ids/8068098/7506823611_1_xlarge.jpg?v=638752357668100000,0.0,250.0,11.2,Café
Café Gourmet Moido Aromas Baggio De Chocolate Com Avelã 250G,77.51,https://americanas.vtexassets.com/arquivos/ids/17511397/5097968754_1_xlarge.jpg?v=638754774078900000,0.0,250.0,31.0,Café
Café Gourmet Moido Aromas Baggio De Chocolate Com Avelã 250G,56.7,https://americanas.vtexassets.com/arquivos/ids/28292119/4990217793_1_xlarge.jpg?v=638755683986630000,0.0,250.0,22.68,Café
Café 3Corações torrado moído Fort a vácuo 500g,29.45,https://americanas.vtexassets.com/arquivos/ids/5054214/7513997593_1_xlarge.jpg?v=638751334275300000,0.0,500.0,5.89,Café
Café dupan torra média torrado em grãos pacote 250G,32.2,https://americanas.vtexassets.com/arquivos/ids/25051512/7507165603_1_xlarge.jpg?v=638755442806300000,0.0,250.0,12.88,Café
Café Torrado e Moído Tradicional pilão 250g,29.26,https://americanas.vtexassets.com/arquivos/ids/11655281/6783035170_1_xlarge.jpg?v=638754200436270000,0.0,250.0,11.7,Café
Café Gourmet Torrado E Moído Santa Monica - 250G,27.93,https://americanas.vtexassets.com/arquivos/ids/21844145/4209889761_1_xlarge.jpg?v=638755181443700000,4.0,250.0,11.17,Café
Café Torrado e Moído Extraforte pilão 500g,48.47,https://americanas.vtexassets.com/arquivos/ids/23133894/6782966183_1_xlarge.jpg?v=638755290597400000,0.0,500.0,9.69,Café
Café Em Pó Baggio - 1 Pacote - 250g - Bourbon - Café Gourmet Arábica Moído,43.5,https://americanas.vtexassets.com/arquivos/ids/4551784/1938279701_1_xlarge.jpg?v=638751275107700000,0.0,250.0,17.4,Café
Café Pilão Extra Forte A Vácuo 250g,34.19,https://americanas.vtexassets.com/arquivos/ids/21807289/7506823617_1_xlarge.jpg?v=638755178595230000,0.0,250.0,13.68,Café
Café com Leite Solúvel 3 Corações Sachê 20g,2.49,https://americanas.vtexassets.com/arquivos/ids/21895024/6456677482_1_xlarge.jpg?v=638755185733200000,0.0,20.0,12.45,Café
Café Torrado e Moído Intenso pilão 500g,34.91,https://americanas.vtexassets.com/arquivos/ids/2174689/6783020496_1_xlarge.jpg?v=638751025653900000,0.0,500.0,6.98,Café
Café Premium Santa Monica Moído 500 Gramas,42.94,https://americanas.vtexassets.com/arquivos/ids/27046841/4497189274_1_xlarge.jpg?v=638755589832530000,0.0,500.0,8.59,Café
Café Em Pó Baggio - 1 Pacote - 250g - Espresso - Café Gourmet Arábica Moído,43.5,https://americanas.vtexassets.com/arquivos/ids/29167458/1938279727_1_xlarge.jpg?v=638755758716830000,0.0,250.0,17.4,Café
Café Em Pó 3 Corações Tradicional 500G,61.95,https://americanas.vtexassets.com/arquivos/ids/9426773/2023065237_1_xlarge.jpg?v=638752499057530000,0.0,500.0,12.39,Café
Café Gourmet Em Grãos Orgânico Santa Monica - 250G,40.55,https://americanas.vtexassets.com/arquivos/ids/24657750/2450265479_1_xlarge.jpg?v=638755413194670000,0.0,250.0,16.22,Café
"Café Moído, Orfeu, Bourbon Amarelo, 250g",46.5,https://americanas.vtexassets.com/arquivos/ids/13336708/5608239474_1_xlarge.jpg?v=638754391316030000,0.0,250.0,18.6,Café
Café Torrado E Moído Extraforte Café Pelé Pacote 250G,74.05,https://americanas.vtexassets.com/arquivos/ids/4274897/7509080686_1_xlarge.jpg?v=638751244553100000,0.0,250.0,29.62,Café
Cafe Soluvel Nescafe 40G Tradicao Forte,39.42,https://americanas.vtexassets.com/arquivos/ids/12661622/5127705892_1_xlarge.jpg?v=638754321928030000,0.0,40.0,98.55,Café
Café Torrado em Grãos Intenso orfeu 250g,38.98,https://americanas.vtexassets.com/arquivos/ids/735311/7299464829_1_xlarge.jpg?v=638750862002730000,0.0,250.0,15.59,Café
Café Torrado E Moido Caboclo 250g Tradicional,27.99,https://americanas.vtexassets.com/arquivos/ids/4873548/7506823512_1_xlarge.jpg?v=638751311678270000,0.0,250.0,11.2,Café
Café Starbucks Torrado E Moído Pike Place 250G,59.87,https://americanas.vtexassets.com/arquivos/ids/29070073/5078288032_1_xlarge.jpg?v=638755750382500000,0.0,250.0,23.95,Café
Café Torrado e Moído Extraforte Vácuo pilão 500g,49.15,https://americanas.vtexassets.com/arquivos/ids/8192731/6783030424_1_xlarge.jpg?v=638752367114500000,0.0,500.0,9.83,Café
Café Em Pó 3 Corações Tradicional 250G,46.97,https://americanas.vtexassets.com/arquivos/ids/14859745/2019132011_1_xlarge.jpg?v=638754546725870000,0.0,250.0,18.79,Café
Cafe Po Vacuo Selecao de Minas Gourmet 500g,26.99,https://americanas.vtexassets.com/arquivos/ids/20525982/7513150264_1_xlarge.jpg?v=638755064798430000,0.0,500.0,5.4,Café
Cafe Soluvel Nescafe 40G Tradicao Forte,20.09,https://americanas.vtexassets.com/arquivos/ids/6924134/5126418541_1_xlarge.jpg?v=638751695637470000,0.0,40.0,50.22,Café
Café Três Corações Tradicional Torrado e Moído 250g,25.9,https://americanas.vtexassets.com/arquivos/ids/9196271/7498511588_1_xlarge.jpg?v=638752470217670000,0.0,250.0,10.36,Café
Café Torrado e Moído Descafeinado a Vácuo pilão 250g,31.52,https://americanas.vtexassets.com/arquivos/ids/29919659/6783031304_1_xlarge.jpg?v=638755818867930000,0.0,250.0,12.61,Café
Café Solúvel Extraforte Original Vidro nescafé 100g,24.17,https://americanas.vtexassets.com/arquivos/ids/28617330/5966680892_1_xlarge.jpg?v=638755711364400000,0.0,100.0,24.17,Café
Café Gourmet Lor Mogiana Torrado E Moído 250G,98.81,https://americanas.vtexassets.com/arquivos/ids/11615338/7496354599_1_xlarge.jpg?v=638792364334730000,0.0,250.0,39.52,Café
Café dupan torra média intensa grãos pacote 250G,32.2,https://americanas.vtexassets.com/arquivos/ids/14952137/7507250941_1_xlarge.jpg?v=638754554673870000,0.0,250.0,12.88,Café
Cafe po melitta extra forte 500G,47.98,https://americanas.vtexassets.com/arquivos/ids/9362596/2658247561_1_xlarge.jpg?v=638752490125800000,0.0,500.0,9.6,Café
Cafe Soluvel Nescafe Original Vidro 200g,43.48,https://americanas.vtexassets.com/arquivos/ids/16318308/3581275685_1_xlarge.jpg?v=638754670051170000,0.0,200.0,21.74,Café
Café Em Pó Starbucks- 1 Pacote - 250g - Pike Place Roast,59.5,https://americanas.vtexassets.com/arquivos/ids/1939534/1850424459_1_xlarge.jpg?v=638751002805670000,0.0,250.0,23.8,Café
