produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
"Café em Grão, Baggio, Espresso, 3 Pacotes de 500g",,https://americanas.vtexassets.com/arquivos/ids/6334706/7465770294_1_xlarge.jpg?v=638751630971270000,0.0,500.0,,Café
Cafe De Acai 350G,67.88,https://americanas.vtexassets.com/arquivos/ids/12636704/4779193714_1_xlarge.jpg?v=638754319323400000,0.0,350.0,19.39,Café
Café Atalaia Tradicional 500g,41.44,https://americanas.vtexassets.com/arquivos/ids/18752892/33714348_1_xlarge.jpg?v=638754889218370000,0.0,500.0,8.29,Café
Café Atary Caseiro Tradicional 500g,41.44,https://americanas.vtexassets.com/arquivos/ids/21114690/33767981_1_xlarge.jpg?v=638755121047800000,0.0,500.0,8.29,Café
Café Atalaia Tradicional Alto Vacuo 500g,47.66,https://americanas.vtexassets.com/arquivos/ids/18238157/33714310_1_xlarge.jpg?v=638754839629700000,0.0,500.0,9.53,Café
Café Maracaju Extra Forte 500g,41.44,https://americanas.vtexassets.com/arquivos/ids/6675576/33767988_1_xlarge.jpg?v=638751669890730000,0.0,500.0,8.29,Café
Café Atalaia Tradicional 500g cx 10uni,,https://americanas.vtexassets.com/arquivos/ids/22111787/33714321_1_xlarge.jpg?v=638755203574270000,0.0,500.0,,Café
Café tradicional - pacote com 500g - Pilão,60.15,https://americanas.vtexassets.com/arquivos/ids/20184731/6511690681_1_xlarge.jpg?v=638755031931870000,0.0,500.0,12.03,Café
Café em grão - pacote com 1 Kg - Pilão,,https://americanas.vtexassets.com/arquivos/ids/4575502/6443011008_1_xlarge.jpg?v=638751277822400000,0.0,1000.0,,Café
Café Caboclo tradicional - pacote com 500 grs,43.49,https://americanas.vtexassets.com/arquivos/ids/16526335/6513899111_1_xlarge.jpg?v=638754687721170000,0.0,500.0,8.7,Café
Café em pó extra forte pacote 500 gramas - Melitta,62.16,https://americanas.vtexassets.com/arquivos/ids/11646539/6514206233_1_xlarge.jpg?v=638754199352000000,0.0,500.0,12.43,Café
Café em pó tradicional - pacote 500gr - Melitta,62.16,https://americanas.vtexassets.com/arquivos/ids/16982020/6519269137_1_xlarge.jpg?v=638754728000630000,1.0,500.0,12.43,Café
Café Torrado e Moído Extraforte Vácuo melitta 500g,57.51,https://americanas.vtexassets.com/arquivos/ids/16153594/5424219954_1_xlarge.jpg?v=638754656187930000,0.0,500.0,11.5,Café
Café Torrado e Moído Tradicional Vácuo melitta 500g,57.51,https://americanas.vtexassets.com/arquivos/ids/24230918/7238608438_1_xlarge.jpg?v=638755381397370000,0.0,500.0,11.5,Café
Cafe caps lor espresso india 52G,28.13,https://americanas.vtexassets.com/arquivos/ids/5603236/7335854235_1_xlarge.jpg?v=638792364994200000,0.0,52.0,54.1,Café
Café com Leite Sem Açúcar 3 corações 265g,31.07,https://americanas.vtexassets.com/arquivos/ids/10708946/5966668341_1_xlarge.jpg?v=638754093435700000,0.0,265.0,11.72,Café
"Café Em Pó Baggio, 3 Pacotes, 750g, Chocolate Trufado, Menta e Caramelo, Café Moído Aromatizado Gourmet Arábica",,https://americanas.vtexassets.com/arquivos/ids/25201564/1902725561_1_xlarge.jpg?v=638755454235530000,0.0,750.0,,Café
Cafe tradicional pouch melitta 500G,59.77,https://americanas.vtexassets.com/arquivos/ids/3986054/5966673431_1_xlarge.jpg?v=638751210506870000,0.0,500.0,11.95,Café
Café Torrado E Moído Tradicional Almofada Pilão 500G Kit 5,,https://americanas.vtexassets.com/arquivos/ids/27807842/5064996919_1_xlarge.jpg?v=638755644813270000,0.0,500.0,,Café
Café Torrado E Moido Pilão 250g Kit Com 5 Un. Tradicional,,https://americanas.vtexassets.com/arquivos/ids/9948143/7500188417_1_xlarge.jpg?v=638753996336170000,0.0,250.0,,Café
Café Pilão Torrado E Moído Tradicional Vácuo 500G,92.39,https://americanas.vtexassets.com/arquivos/ids/7351432/4996905204_1_xlarge.jpg?v=638751747050770000,0.0,500.0,18.48,Café
Cafe Melitta Puro Tradicional 500g,92.39,https://americanas.vtexassets.com/arquivos/ids/2433781/3497318540_1_xlarge.jpg?v=638751051188900000,0.0,500.0,18.48,Café
Café Três Corações Extra Forte Kit 10 Pacotes A Vácuo 250G,,https://americanas.vtexassets.com/arquivos/ids/15399255/7504046159_1_xlarge.jpg?v=638754593408430000,0.0,250.0,,Café
